代號,股票名稱,持有家數,持有ETF名單,總權重,平均權重
3376,新日興,2,"00981A, 00982A",0.49,0.245
3008,大立光,2,"00981A, 00982A",0.39,0.195
1319,東陽,2,"00981A, 00982A",0.22,0.11
C_NTD,CASH,1,00981A,9.66,9.66
LITE US,LUMENTUM HOLDINGS INC,1,00990A,8.17,8.17
5536,聖暉*,1,00982A,7.79,7.79
SNDK US,SANDISK CORP,1,00990A,5.33,5.33
MU US,MICRON TECHNOLOGY INC,1,00990A,4.94,4.94
3702,大聯大,1,00993A,3.78,3.78
2303,聯電,1,00993A,3.7,3.7
TSEM US,TOWER SEMICONDUCTOR LTD,1,00990A,3.58,3.58
1216,統一企業,1,00985A,3.42,3.42
TER US,TERADYNE INC,1,00990A,3.39,3.39
6257,矽格,1,00982A,3.21,3.21
CIEN US,CIENA CORP,1,00990A,3.01,3.01
AIXA GR,AIXTRON SE,1,00990A,2.76,2.76
3163,波若威,1,00992A,2.66,2.66
5801 JP,FURUKAWA ELECTRIC CO LTD,1,00990A,2.6,2.6
5706 JP,MITSUI KINZOKU CO LTD,1,00990A,2.58,2.58
DA_NTD,AFTER DEDUCTING SECURITIES PURCHASES AMOUNT,1,00991A,2.52,2.52
005930 KP,SAMSUNG ELECTRONICS CO LTD,1,00990A,2.44,2.44
2441,超豐,1,00982A,2.34,2.34
GEV US,GE VERNOVA INC,1,00990A,2.2,2.2
GLW US,CORNING INC,1,00990A,2.06,2.06
ENR GR,SIEMENS ENERGY AG,1,00990A,1.86,1.86
3167,大量,1,00993A,1.78,1.78
WDC US,WESTERN DIGITAL CORP,1,00990A,1.63,1.63
6789,采鈺科技,1,00985A,1.58,1.58
2428,興勤,1,00982A,1.55,1.55
3231,緯創資通,1,00980A,1.54,1.54
NVDA US,NVIDIA CORP,1,00990A,1.51,1.51
2884,玉山金融控股,1,00980A,1.48,1.48
5803 JP,FUJIKURA LTD,1,00990A,1.46,1.46
1785,光洋科,1,00982A,1.39,1.39
2421,建準,1,00982A,1.38,1.38
2316,楠梓電,1,00982A,1.36,1.36
3211,順達,1,00981A,1.36,1.36
BE US,BLOOM ENERGY CORP- A,1,00990A,1.36,1.36
268A JP,RIGAKU HOLDINGS CORP,1,00990A,1.33,1.33
ASML US,ASML HOLDING NV-NY REG SHS,1,00990A,1.3,1.3
SOI FP,S.O.I.T.E.C.,1,00990A,1.27,1.27
CRCL US,CIRCLE INTERNET GROUP INC,1,00990A,1.22,1.22
6590 JP,SHIBAURA MECHATRONICS CORP,1,00990A,1.2,1.2
2376,技嘉科技,1,00980A,1.17,1.17
6770,力積電,1,00993A,1.15,1.15
2883,凱基金控,1,00993A,1.14,1.14
3481,群創光電,1,00993A,1.1,1.1
2882,國泰金,1,00993A,1.08,1.08
6239,力成科技,1,00985A,1.08,1.08
NOK US,NOKIA CORP-SPON ADR,1,00990A,1.08,1.08
6941 JP,YAMAICHI ELECTRONICS CO LTD,1,00990A,1.07,1.07
1560,中砂,1,00993A,1.06,1.06
6831,邁科科技,1,00980A,1.05,1.05
5234,達興材料,1,00980A,1.02,1.02
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,1,00990A,1.0,1.0
4991,環宇-KY,1,00992A,1.0,1.0
INTC US,INTEL CORP,1,00990A,0.97,0.97
2486,一詮,1,00992A,0.81,0.81
6227 JP,AIMECHATEC LTD,1,00990A,0.81,0.81
6531,愛普*,1,00992A,0.81,0.81
6415,矽力杰,1,00985A,0.8,0.8
5434,崇越科技,1,00980A,0.78,0.78
1605,華新麗華,1,00985A,0.77,0.77
4062 JP,IBIDEN CO LTD,1,00990A,0.72,0.72
4915,致伸科技,1,00980A,0.71,0.71
2347,聯強,1,00993A,0.6,0.6
2606,裕民,1,00993A,0.6,0.6
3715,定穎投控,1,00993A,0.6,0.6
6505,台塑石化,1,00993A,0.6,0.6
PL US,PLANET LABS PBC,1,00990A,0.6,0.6
3023,信邦,1,00993A,0.59,0.59
3110 JP,NITTO BOSEKI CO LTD,1,00990A,0.59,0.59
3131,弘塑科技,1,00993A,0.59,0.59
3583,辛耘,1,00993A,0.58,0.58
6213,聯茂,1,00993A,0.58,0.58
6285,啟碁科技,1,00993A,0.56,0.56
2472,立隆電,1,00982A,0.52,0.52
1815,富喬工業,1,00993A,0.49,0.49
AKAM US,AKAMAI TECHNOLOGIES INC,1,00990A,0.49,0.49
AXTI US,AXT INC,1,00990A,0.48,0.48
FSLY US,FASTLY INC - CLASS A,1,00990A,0.48,0.48
M_NTD,MARGIN,1,00981A,0.47,0.47
ASTS US,AST SPACEMOBILE INC,1,00990A,0.45,0.45
SMHN GR,SUSS MICROTEC SE,1,00990A,0.44,0.44
6446,藥華醫藥,1,00993A,0.43,0.43
6290,良維,1,00993A,0.42,0.42
RKLB US,ROCKET LAB CORP,1,00990A,0.42,0.42
4722,國精化學,1,00993A,0.4,0.4
1326,台化,1,00981A,0.38,0.38
4979,華星光,1,00981A,0.37,0.37
2451,創見,1,00982A,0.33,0.33
6187,萬潤,1,00981A,0.33,0.33
6191,精成科,1,00981A,0.29,0.29
6177,達麗,1,00982A,0.28,0.28
8464,億豐,1,00982A,0.16,0.16
4971 JP,MEC CO LTD,1,00990A,0.14,0.14
2002,中鋼,1,00981A,0.09,0.09
3217,優群,1,00981A,0.07,0.07
4441,振大環球,1,00982A,0.04,0.04
